# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","1","2","3","4","5"
"12","A12","3","1589.8928","190.74922","264.98782","312.03842","0.0"
"13","B1","3","103742.61","9258.946","641.3009","89.571945","0.0"
"14","B2","3","103111.57","10169.375","1270.8087","425.6875","1655.4125"
"15","B3","3","101296.695","8613.564","718.02","0.0","0.0"
"16","B4","3","73801.336","4590.653","0.0","0.0","0.0"
"17","B5","3","67649.53","4167.9443","0.0","0.0","0.0"
"18","B6","3","73094.66","4728.154","296.85092","169.74594","1313.0988"
"19","B7","3","0.0","0.0","0.0","0.0","0.0"
"20","B8","3","108413.11","8004.8193","640.5794","0.0","0.0"
"21","B9","3","0.0","300.09598","176.64809","19.654327","0.0"
"22","B10","3","0.0","567.93463","296.7298","63.590305","2405.51"
"23","B11","3","0.0","458.82376","253.58173","0.0","384.01123"
"24","B12","3","0.0","0.0","0.0","0.0","0.0"
"25","C1","3","112577.69","10307.601","700.9784","744.9376","4103.5645"
"26","C2","3","99662.43","8050.267","183.2504","0.0","0.0"
"27","C3","3","103318.016","8368.391","492.35934","0.0","0.0"
"28","C4","3","71631.71","4060.013","0.0","0.0","0.0"
"29","C5","3","69268.01","3882.4756","0.0","0.0","0.0"
"30","C6","3","90204.1","8595.233","3331.0522","3200.7488","0.0"
"31","C7","3","0.0","273.41174","1213.175","1405.1049","0.0"
"32","C8","3","108992.336","8238.479","587.056","0.0","0.0"
"33","C9","3","0.0","0.0","0.0","0.0","0.0"
"34","C10","3","0.0","0.0","54.309982","138.5403","521.709"
"35","C11","3","0.0","958.30334","396.53174","295.0843","1941.6143"
"36","C12","3","0.0","0.0","0.0","0.0","0.0"
"37","D1","3","105662.47","10304.747","1193.0475","0.0","0.0"
"38","D2","3","105226.18","8693.253","712.35065","0.0","0.0"
"39","D3","3","98534.016","7763.7974","747.1685","0.0","0.0"
"40","D4","3","68550.875","3696.6787","0.0","0.0","77.02157"
"41","D5","3","71871.49","4202.0786","0.0","0.0","0.0"
"42","D6","3","66873.57","3430.0605","0.0","0.0","0.0"
"43","D7","3","0.0","0.0","0.0","46.273975","0.0"
"44","D8","3","350721.66","38681.44","16501.303","13021.405","2259.3665"
"45","D9","3","0.0","0.0","0.0","0.0","0.0"
"46","D10","3","0.0","208.417","255.18286","287.40472","0.0"
"47","D11","3","0.0","502.9686","0.0","0.0","0.0"
"48","D12","3","0.0","368.7889","105.30464","143.2749","630.3124"
"49","E1","3","104693.37","9320.851","608.6575","0.0","0.0"
"50","E2","3","103687.11","7851.6274","1115.7686","0.0","0.0"
"51","E3","3","98051.0","7750.8657","699.42834","0.0","350.4227"
"52","E4","3","68662.195","3926.1653","0.0","0.0","0.0"
"53","E5","3","74250.1","4120.0664","26.942392","0.0","0.0"
"54","E6","3","70239.85","3771.4507","0.0","0.0","0.0"
"55","E7","3","0.0","0.0","0.0","0.0","0.0"
"56","E8","3","112271.38","8440.482","1000.6967","0.0","0.0"
"57","E9","3","0.0","342.8341","555.8532","308.88992","0.0"
"58","E10","3","0.0","0.0","0.0","27.13797","0.0"
"59","E11","3","0.0","0.0","124.66831","0.0","598.5595"
"60","E12","3","8170.788","1144.7213","705.67017","700.91003","0.0"
"61","F1","3","103979.5","9645.012","1008.4876","38.3572","317.4841"
"62","F2","3","95421.555","8268.63","876.9523","390.83862","651.8191"
"63","F3","3","93865.46","7307.855","457.69263","0.0","0.0"
"64","F4","3","70509.016","3872.0388","0.0","0.0","0.0"
"65","F5","3","72411.81","3926.5393","0.0","0.0","513.5764"
