# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"8","A8","33","-4661.0938","1970522.6"
"8","A8","34","-9703.031","2198250.2"
"8","A8","35","-13896.531","2394683.5"
"8","A8","36","-16728.266","2537613.0"
"8","A8","37","-18380.14","2617998.0"
"8","A8","38","-19086.203","2660901.5"
"8","A8","39","-19610.64","2687445.8"
"8","A8","40","-19994.578","2706785.2"
"8","A8","41","-20365.86","2721203.5"
"8","A8","42","-20723.906","2737822.8"
"8","A8","43","-20989.422","2749401.8"
"8","A8","44","-21332.734","2762209.2"
"8","A8","45","-21710.594","2772404.2"
"8","A8","46","-21853.875","2782838.5"
"8","A8","47","-21833.078","2787434.8"
"8","A8","48","-21848.75","2797654.0"
"8","A8","49","-22223.062","2805011.2"
"8","A8","50","-22470.078","2816526.0"
"8","A8","51","-22823.469","2823619.2"
"8","A8","52","-36994.297","2958272.5"
"13","B1","1","-6888.4062","1299353.4"
"13","B1","2","-825.40625","1303784.9"
"13","B1","3","-1025.1875","1313100.1"
"13","B1","4","-1400.625","1319098.8"
"13","B1","5","-1483.1562","1322867.9"
"13","B1","6","-1691.4219","1324065.4"
"13","B1","7","-1516.0156","1325572.6"
"13","B1","8","-1638.2812","1327056.8"
"13","B1","9","-1637.2812","1327933.8"
"13","B1","10","-1532.75","1329708.5"
"13","B1","11","-1753.8906","1331221.6"
"13","B1","12","-1825.875","1335668.4"
"13","B1","13","-1927.5625","1337430.8"
"13","B1","14","-1766.2656","1339136.1"
"13","B1","15","-2074.9531","1339406.9"
"13","B1","16","-2158.7656","1342989.9"
"13","B1","17","-2153.5469","1341808.5"
"13","B1","18","-2358.7969","1343032.2"
"13","B1","19","-2327.7188","1343394.5"
"13","B1","20","-2225.8906","1343285.0"
"13","B1","21","-2255.3594","1343505.8"
"13","B1","22","-2241.2812","1345176.8"
"13","B1","23","-2027.5156","1345051.8"
"13","B1","24","-1908.6875","1346614.0"
"13","B1","25","-2043.5156","1346985.0"
"13","B1","26","-1378.4375","1348132.5"
"13","B1","27","-587.2969","1349058.1"
"13","B1","28","1099.375","1347498.2"
"13","B1","29","4824.4688","1347754.8"
"13","B1","30","10825.3125","1348936.6"
"13","B1","31","21581.89","1348539.6"
"13","B1","32","38083.64","1349124.4"
"13","B1","33","60827.97","1347857.0"
"13","B1","34","85297.97","1346505.0"
"13","B1","35","106814.16","1346558.1"
"13","B1","36","121428.91","1347717.8"
"13","B1","37","131097.66","1348217.8"
"13","B1","38","136539.03","1347960.6"
"13","B1","39","139876.2","1348399.9"
"13","B1","40","141899.4","1349254.0"
"13","B1","41","143533.53","1348586.2"
"13","B1","42","144763.86","1349182.1"
"13","B1","43","145730.45","1350451.1"
"13","B1","44","146917.23","1350741.8"
"13","B1","45","147531.14","1349910.9"
"13","B1","46","148744.52","1350766.5"
"13","B1","47","149077.89","1350657.5"
"13","B1","48","149849.8","1350715.4"
"13","B1","49","150650.92","1351830.5"
"13","B1","50","151425.89","1350646.1"
"13","B1","51","152411.0","1352022.2"
"13","B1","52","147494.02","1382071.2"
"14","B2","1","4772.7266","1275496.8"
"14","B2","2","8992.297","1261686.1"
"14","B2","3","8488.906","1266261.9"
"14","B2","4","8854.727","1265087.6"
"14","B2","5","8727.242","1264387.0"
"14","B2","6","8393.984","1266851.2"
"14","B2","7","8365.969","1266764.5"
"14","B2","8","8144.5625","1267418.9"
"14","B2","9","8358.43","1267084.9"
"14","B2","10","7859.9297","1267782.1"
"14","B2","11","8191.8438","1265812.5"
"14","B2","12","8100.0938","1270996.4"
"14","B2","13","7921.5","1271829.5"
"14","B2","14","7808.9766","1275285.4"
"14","B2","15","8059.336","1277119.2"
"14","B2","16","8181.5156","1281503.9"
"14","B2","17","8388.039","1281834.5"
"14","B2","18","7879.164","1282719.4"
"14","B2","19","8241.5","1281556.8"
"14","B2","20","7978.172","1280564.8"
"14","B2","21","7724.2266","1281305.8"
"14","B2","22","7769.1406","1282492.6"
"14","B2","23","7584.0938","1283071.1"
"14","B2","24","7937.5312","1284594.4"
"14","B2","25","8073.242","1281680.5"
"14","B2","26","8537.961","1281433.5"
"14","B2","27","9032.266","1282053.6"
"14","B2","28","10363.141","1282590.9"
"14","B2","29","12026.945","1285839.5"
"14","B2","30","16124.82","1283889.9"
"14","B2","31","22957.39","1285180.0"
"14","B2","32","34858.516","1283325.0"
"14","B2","33","51285.023","1284087.5"
"14","B2","34","72642.49","1283658.9"
"14","B2","35","94012.055","1280855.4"
"14","B2","36","111773.664","1280531.6"
"14","B2","37","123432.24","1280521.5"
"14","B2","38","130284.42","1280491.0"
"14","B2","39","135033.47","1280093.4"
"14","B2","40","137863.88","1278843.2"
"14","B2","41","138981.75","1280023.1"
"14","B2","42","140424.34","1279899.4"
"14","B2","43","141569.1","1279750.9"
"14","B2","44","141733.03","1282715.4"
"14","B2","45","142971.66","1280554.9"
"14","B2","46","144092.38","1277629.1"
"14","B2","47","144055.34","1281524.8"
"14","B2","48","144869.9","1282382.5"
"14","B2","49","145314.03","1282089.4"
"14","B2","50","146215.78","1279972.6"
"14","B2","51","146933.48","1280852.0"
"14","B2","52","142958.47","1303693.0"
"15","B3","1","6864.758","1190761.2"
"15","B3","2","11151.094","1180655.6"
"15","B3","3","10586.336","1184020.8"
"15","B3","4","10549.531","1185023.1"
"15","B3","5","10316.203","1186341.8"
"15","B3","6","10418.047","1187836.2"
"15","B3","7","10453.445","1188980.1"
"15","B3","8","10441.516","1189608.9"
