# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"44","D8","Negative Control",,"IEC","NTC","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","9000.0","false","3","15","-2953.618303571427","Negative","Undetermined",,"false"
"44","D8","Negative Control",,"nCoV","NTC","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-158941.81318681326","Negative","Undetermined",,"false"
"49","E1","Neg CC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.20849796123271","28.51308521442099","0.9885929298123688","0.28168620055400306","false","9000.0","false","3","15","157894.87384100273","Positive","Undetermined",,"false"
"49","E1","Neg CC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-40299.291895604496","Negative","Undetermined",,"false"
"50","E2","buffer and PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","27.481604576521555","27.164598228900527","0.9805563432775396","0.9128407404757404","false","9000.0","false","3","15","138741.34842891482","Positive","Undetermined",,"false"
"50","E2","buffer and PCD 4",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","32.98254488523173","32.73163906360701","0.7258714202711573","0.2175031607623102","false","60000.0","false","3","15","1338926.2575549448","Positive","Undetermined",,"false"
"51","E3","Neg DG",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","29.805804968167102","29.44474748558157","0.9878877266605547","0.5106123886687436","false","9000.0","false","3","15","131691.7918956044","Positive","Undetermined",,"false"
"51","E3","Neg DG",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-66129.96085164834","Negative","Undetermined",,"false"
"52","E4","Neg CC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.241180110372184","24.697966979480043","0.9873225931514827","0.4787833474175897","false","30000.0","true","3","15","692299.3440934066","Positive","Positive",,"false"
"53","E5","buffer and PCD 4",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-861.5186676110145","Negative","Negative",,"false"
