# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","23","IEC","-3557.7578125","462.2313701923076","Neg DC","false"
"2","A2","24","IEC","-3787.578125","305.97514594780205","Neg DC","false"
"2","A2","25","IEC","-3218.8515625","948.2657967032965","Neg DC","false"
"2","A2","26","IEC","-2977.3515625","1263.3298849587918","Neg DC","false"
"2","A2","27","IEC","-1166.234375","3148.0111607142862","Neg DC","false"
"2","A2","28","IEC","1357.7578125","5745.567436469781","Neg DC","false"
"2","A2","29","IEC","5699.40625","10160.779962225275","Neg DC","false"
"2","A2","30","IEC","13955.03125","18489.96905048077","Neg DC","false"
"2","A2","31","IEC","27342.109375","31950.611263736264","Neg DC","false"
"2","A2","32","IEC","46108.4140625","50790.48003949176","Neg DC","false"
"2","A2","33","IEC","67630.765625","72386.39569024724","Neg DC","false"
"2","A2","34","IEC","87214.09375","92043.28790350276","Neg DC","false"
"2","A2","35","IEC","102388.8125","107291.57074175825","Neg DC","false"
"2","A2","36","IEC","112359.578125","117335.90045501373","Neg DC","false"
"2","A2","37","IEC","118946.046875","123995.93329326922","Neg DC","false"
"2","A2","38","IEC","123017.796875","128141.24738152474","Neg DC","false"
"2","A2","39","IEC","125153.125","130350.13959478022","Neg DC","false"
"2","A2","40","IEC","126814.3671875","132084.9458705357","Neg DC","false"
"2","A2","41","IEC","128067.375","133411.51777129123","Neg DC","false"
"2","A2","42","IEC","129724.2890625","135141.9959220467","Neg DC","false"
"2","A2","43","IEC","130329.8359375","135821.1068853022","Neg DC","false"
"2","A2","44","IEC","130967.5703125","136532.4053485577","Neg DC","false"
"2","A2","45","IEC","132012.53125","137650.9303743132","Neg DC","false"
"2","A2","46","IEC","132614.34375","138326.3069625687","Neg DC","false"
"2","A2","47","IEC","133134.3125","138919.83980082418","Neg DC","false"
"2","A2","48","IEC","134287.015625","140146.10701407967","Neg DC","false"
"2","A2","49","IEC","134920.90625","140853.56172733518","Neg DC","false"
"2","A2","50","IEC","135353.703125","141359.92269059067","Neg DC","false"
"2","A2","1","nCoV","1207595.625","-4203.990384615457","Neg DC","false"
"2","A2","2","nCoV","1213092.5","291.93269230778185","Neg DC","false"
"2","A2","3","nCoV","1214386.375","584.8557692307871","Neg DC","false"
"2","A2","4","nCoV","1215750.375","947.9038461537924","Neg DC","false"
"2","A2","5","nCoV","1217623.125","1819.7019230770306","Neg DC","false"
"2","A2","6","nCoV","1217123.875","319.5000000000358","Neg DC","false"
"2","A2","7","nCoV","1216757.875","-1047.4519230769588","Neg DC","false"
"2","A2","8","nCoV","1216983.25","-1823.0288461539535","Neg DC","false"
"2","A2","9","nCoV","1218783.75","-1023.4807692307155","Neg DC","false"
"2","A2","10","nCoV","1220763.875","-44.30769230771023","Neg DC","false"
"2","A2","11","nCoV","1219918.125","-1891.0096153847048","Neg DC","false"
"2","A2","12","nCoV","1221629.125","-1180.9615384614667","Neg DC","false"
"2","A2","13","nCoV","1222474.5","-1336.5384615384614","Neg DC","false"
"2","A2","14","nCoV","1227577.5","2765.509615384544","Neg DC","false"
"2","A2","15","nCoV","1227722.25","1909.307692307782","Neg DC","false"
"2","A2","16","nCoV","1229724.25","2910.3557692307872","Neg DC","false"
"2","A2","17","nCoV","1232496.0","4681.153846153792","Neg DC","false"
"2","A2","18","nCoV","1231788.625","2972.8269230770306","Neg DC","false"
"2","A2","19","nCoV","1234694.25","4877.5000000000355","Neg DC","false"
"2","A2","20","nCoV","1237420.375","6602.673076923041","Neg DC","false"
"2","A2","21","nCoV","1238762.75","6944.096153846046","Neg DC","false"
"2","A2","22","nCoV","1238788.25","5968.644230769284","Neg DC","false"
"2","A2","23","nCoV","1242661.25","8840.69230769229","Neg DC","false"
"2","A2","24","nCoV","1241614.5","6792.990384615295","Neg DC","false"
"2","A2","25","nCoV","1242466.375","6643.913461538533","Neg DC","false"
"2","A2","26","nCoV","1242902.5","6079.086538461538","Neg DC","false"
"2","A2","27","nCoV","1241951.125","4126.759615384543","Neg DC","false"
"2","A2","28","nCoV","1239804.75","979.4326923077818","Neg DC","false"
"2","A2","29","nCoV","1243529.5","3703.2307692307872","Neg DC","false"
"2","A2","30","nCoV","1242392.875","1565.6538461537925","Neg DC","false"
"2","A2","31","nCoV","1242406.875","578.7019230770305","Neg DC","false"
"2","A2","32","nCoV","1241627.5","-1201.624999999964","Neg DC","false"
"2","A2","33","nCoV","1238262.875","-5567.201923076959","Neg DC","false"
"2","A2","34","nCoV","1235411.125","-9419.903846153953","Neg DC","false"
"2","A2","35","nCoV","1236487.375","-9344.605769230715","Neg DC","false"
"2","A2","36","nCoV","1238048.375","-8784.55769230771","Neg DC","false"
"2","A2","37","nCoV","1237817.5","-10016.384615384704","Neg DC","false"
"2","A2","38","nCoV","1236007.0","-12827.836538461466","Neg DC","false"
"2","A2","39","nCoV","1236930.875","-12904.913461538461","Neg DC","false"
"2","A2","40","nCoV","1236953.25","-13883.490384615456","Neg DC","false"
"2","A2","41","nCoV","1234276.375","-17561.317307692218","Neg DC","false"
"2","A2","42","nCoV","1232105.625","-20733.019230769212","Neg DC","false"
"2","A2","43","nCoV","1232582.25","-21257.346153846207","Neg DC","false"
"2","A2","44","nCoV","1233815.5","-21025.04807692297","Neg DC","false"
"2","A2","45","nCoV","1230022.125","-25819.374999999964","Neg DC","false"
"2","A2","46","nCoV","1229310.25","-27532.20192307696","Neg DC","false"
"2","A2","47","nCoV","1228266.0","-29577.403846153953","Neg DC","false"
"2","A2","48","nCoV","1227134.5","-31709.855769230715","Neg DC","false"
"2","A2","49","nCoV","1225465.0","-34380.30769230771","Neg DC","false"
"2","A2","50","nCoV","1223023.25","-37823.009615384704","Neg DC","false"
"3","A3","1","IEC","2956.8671875","530.3986092032968","buffer only","false"
"3","A3","2","IEC","2571.953125","198.77524038461559","buffer only","false"
"3","A3","3","IEC","2719.546875","399.6596840659339","buffer only","false"
"3","A3","4","IEC","2412.6640625","146.06756524725267","buffer only","false"
"3","A3","5","IEC","2322.6640625","109.35825892857144","buffer only","false"
"3","A3","6","IEC","1854.7109375","-305.3041723901098","buffer only","false"
"3","A3","7","IEC","1917.9765625","-188.747853708791","buffer only","false"
"3","A3","8","IEC","2098.5546875","45.12096497252754","buffer only","false"
"3","A3","9","IEC","1914.3515625","-85.79146634615392","buffer only","false"
"3","A3","10","IEC","1393.109375","-553.7429601648352","buffer only","false"
"3","A3","11","IEC","1873.921875","-19.639766483516375","buffer only","false"
"3","A3","12","IEC","1581.046875","-259.22407280219784","buffer only","false"
"3","A3","13","IEC","1987.015625","200.0353708791207","buffer only","false"
"3","A3","14","IEC","1918.9453125","185.25575206043948","buffer only","false"
"3","A3","15","IEC","2007.3515625","326.95269574175825","buffer only","false"
"3","A3","16","IEC","1377.015625","-250.09254807692298","buffer only","false"
"3","A3","17","IEC","1656.375","82.55752060439556","buffer only","false"
"3","A3","18","IEC","1539.6953125","19.168526785714114","buffer only","false"
"3","A3","19","IEC","1455.5546875","-11.681404532967115","buffer only","false"
"3","A3","20","IEC","1142.9453125","-271.00008585164835","buffer only","false"
"3","A3","21","IEC","1610.375","249.7202953296702","buffer only","false"
"3","A3","22","IEC","1684.2578125","376.89380151098896","buffer only","false"
"3","A3","23","IEC","1661.8125","407.73918269230774","buffer only","false"
"3","A3","24","IEC","2956.9921875","1756.2095638736264","buffer only","false"
"3","A3","25","IEC","4339.359375","3191.867445054945","buffer only","false"
"3","A3","26","IEC","6342.640625","5248.439388736264","buffer only","false"
"3","A3","27","IEC","11796.1953125","10755.284769917582","buffer only","false"
"3","A3","28","IEC","20115.34375","19127.7239010989","buffer only","false"
"3","A3","29","IEC","33639.65625","32705.32709478022","buffer only","false"
"3","A3","30","IEC","53653.9453125","52772.90685096154","buffer only","false"
"3","A3","31","IEC","76868.3203125","76040.57254464286","buffer only","false"
"3","A3","32","IEC","98689.7109375","97915.25386332418","buffer only","false"
"3","A3","33","IEC","115473.125","114751.95861950549","buffer only","false"
"3","A3","34","IEC","126939.7421875","126271.86650068681","buffer only","false"
"3","A3","35","IEC","133668.734375","133054.14938186813","buffer only","false"
"3","A3","36","IEC","138357.46875","137796.17445054947","buffer only","false"
"3","A3","37","IEC","140883.28125","140375.27764423078","buffer only","false"
"3","A3","38","IEC","143066.984375","142612.2714629121","buffer only","false"
"3","A3","39","IEC","145130.03125","144728.60903159343","buffer only","false"
"3","A3","40","IEC","146559.71875","146211.58722527474","buffer only","false"
"3","A3","41","IEC","148059.65625","147764.81541895604","buffer only","false"
"3","A3","42","IEC","149049.1875","148807.63736263738","buffer only","false"
"3","A3","43","IEC","150445.09375","150256.8343063187","buffer only","false"
"3","A3","44","IEC","151498.53125","151363.5625","buffer only","false"
"3","A3","45","IEC","152854.59375","152772.91569368134","buffer only","false"
"3","A3","46","IEC","153915.5625","153887.17513736265","buffer only","false"
"3","A3","47","IEC","155493.375","155518.27833104396","buffer only","false"
"3","A3","48","IEC","156604.421875","156682.6158997253","buffer only","false"
"3","A3","49","IEC","157400.1875","157531.6722184066","buffer only","false"
"3","A3","50","IEC","158473.78125","158658.5566620879","buffer only","false"
"3","A3","1","nCoV","1253189.5","1306.8969780219575","buffer only","false"
"3","A3","2","nCoV","1255880.0","2894.5769230768874","buffer only","false"
"3","A3","3","nCoV","1254872.625","784.3818681318169","buffer only","false"
"3","A3","4","nCoV","1256951.375","1760.3118131867466","buffer only","false"
"3","A3","5","nCoV","1256543.25","249.36675824167628","buffer only","false"
"3","A3","6","nCoV","1258351.625","954.921703296606","buffer only","false"
"3","A3","7","nCoV","1257827.625","-671.8983516484643","buffer only","false"
"3","A3","8","nCoV","1257961.625","-1640.7184065933018","buffer only","false"
"3","A3","9","nCoV","1258051.375","-2653.788461538372","buffer only","false"
"3","A3","10","nCoV","1262556.125","748.1414835165576","buffer only","false"
"3","A3","11","nCoV","1259482.75","-3428.0535714285124","buffer only","false"
"3","A3","12","nCoV","1264128.875","115.25137362641703","buffer only","false"
"3","A3","13","nCoV","1265446.125","329.68131868134674","buffer only","false"
"3","A3","14","nCoV","1268104.625","1885.3612637362764","buffer only","false"
"3","A3","15","nCoV","1268889.125","1567.0412087912061","buffer only","false"
"3","A3","16","nCoV","1273696.875","5271.971153846136","buffer only","false"
"3","A3","17","nCoV","1271334.0","1806.2760989010656","buffer only","false"
"3","A3","18","nCoV","1272199.625","1569.0810439559953","buffer only","false"
"3","A3","19","nCoV","1273083.125","1349.760989010925","buffer only","false"
"3","A3","20","nCoV","1275629.0","2792.815934065855","buffer only","false"
"3","A3","21","nCoV","1275474.125","1535.1208791207844","buffer only","false"
"3","A3","22","nCoV","1276344.25","1302.425824175714","buffer only","false"
"3","A3","23","nCoV","1279008.125","2863.480769230877","buffer only","false"
"3","A3","24","nCoV","1276407.5","-839.9642857141937","buffer only","false"
"3","A3","25","nCoV","1277012.5","-1337.784340659264","buffer only","false"
"3","A3","26","nCoV","1281710.625","2257.520604395666","buffer only","false"
"3","A3","27","nCoV","1279216.375","-1339.5494505494046","buffer only","false"
"3","A3","28","nCoV","1277927.75","-3730.9945054944747","buffer only","false"
"3","A3","29","nCoV","1279419.625","-3341.939560439545","buffer only","false"
"3","A3","30","nCoV","1275282.5","-8581.884615384615","buffer only","false"
"3","A3","31","nCoV","1275808.0","-9159.204670329686","buffer only","false"
"3","A3","32","nCoV","1275974.625","-10095.399725274756","buffer only","false"
"3","A3","33","nCoV","1278193.375","-8979.469780219826","buffer only","false"
"3","A3","34","nCoV","1276456.25","-11819.414835164896","buffer only","false"
"3","A3","35","nCoV","1276885.625","-12492.859890109967","buffer only","false"
"3","A3","36","nCoV","1276397.0","-14084.304945055037","buffer only","false"
"3","A3","37","nCoV","1275892.75","-15691.375000000107","buffer only","false"
"3","A3","38","nCoV","1278100.75","-14586.195054944945","buffer only","false"
"3","A3","39","nCoV","1276626.125","-17163.640109890017","buffer only","false"
"3","A3","40","nCoV","1278145.875","-16746.710164835087","buffer only","false"
"3","A3","41","nCoV","1277231.0","-18764.405219780157","buffer only","false"
"3","A3","42","nCoV","1277671.5","-19426.725274725228","buffer only","false"
"3","A3","43","nCoV","1278743.0","-19458.045329670298","buffer only","false"
"3","A3","44","nCoV","1279910.25","-19393.61538461537","buffer only","false"
"3","A3","45","nCoV","1280262.125","-20144.56043956044","buffer only","false"
"3","A3","46","nCoV","1281778.875","-19730.63049450551","buffer only","false"
"3","A3","47","nCoV","1279359.75","-23252.57554945058","buffer only","false"
"3","A3","48","nCoV","1281069.625","-22645.52060439565","buffer only","false"
"3","A3","49","nCoV","1280615.375","-24202.59065934072","buffer only","false"
"3","A3","50","nCoV","1281337.375","-24583.41071428579","buffer only","false"
"4","A4","1","Endo","70509.5078125","-256.546377840903","Neg NT","false"
"4","A4","2","Endo","71021.09375","125.55795454545296","Neg NT","false"
"4","A4","3","Endo","71099.7890625","74.77166193182347","Neg NT","false"
"4","A4","4","Endo","71135.3125","-19.186505681820563","Neg NT","false"
"4","A4","5","Endo","71354.3828125","70.40220170454995","Neg NT","false"
"4","A4","6","Endo","71349.484375","-63.977840909094084","Neg NT","false"
"4","A4","7","Endo","71560.28125","17.33742897727643","Neg NT","false"
"4","A4","8","Endo","71563.9296875","-108.4957386363676","Neg NT","false"
"4","A4","9","Endo","71790.21875","-11.68828124999709","Neg NT","false"
"4","A4","10","Endo","71845.5390625","-85.84957386364113","Neg NT","false"
"4","A4","11","Endo","72055.1953125","-5.674928977270611","Neg NT","false"
"4","A4","12","Endo","72254.046875","63.69502840908535","Neg NT","false"
"4","A4","13","Endo","72388.5","68.66654829545587","Neg NT","false"
"4","A4","14","Endo","72599.03125","149.71619318181183","Neg NT","false"
"4","A4","15","Endo","72811.5","232.70333806818235","Neg NT","false"
"4","A4","16","Endo","73260.2109375","551.9326704545383","Neg NT","false"
"4","A4","17","Endo","73236.0234375","398.2635653409088","Neg NT","false"
"4","A4","18","Endo","73893.265625","926.0241477272648","Neg NT","false"
"4","A4","19","Endo","74701.3046875","1604.5816051136353","Neg NT","false"
"4","A4","20","Endo","74999.578125","1773.3734375000058","Neg NT","false"
"4","A4","21","Endo","77166.8359375","3811.149644886362","Neg NT","false"
"4","A4","22","Endo","79871.1796875","6386.011789772732","Neg NT","false"
"4","A4","23","Endo","85256.1171875","11641.467684659088","Neg NT","false"
"4","A4","24","Endo","95680.8046875","21936.67357954546","Neg NT","false"
"4","A4","25","Endo","115303.1640625","41429.551349431815","Neg NT","false"
"4","A4","26","Endo","149777.46875","75774.37443181819","Neg NT","false"
"4","A4","27","Endo","205797.546875","131664.97095170454","Neg NT","false"
"4","A4","28","Endo","282835.4375","208573.3799715909","Neg NT","false"
"4","A4","29","Endo","369111.96875","294720.4296164772","Neg NT","false"
"4","A4","30","Endo","446627.46875","372106.4480113636","Neg NT","false"
"4","A4","31","Endo","501896.46875","427245.96640625","Neg NT","false"
"4","A4","32","Endo","537879.875","463099.8910511363","Neg NT","false"
"4","A4","33","Endo","562409.375","487499.9094460227","Neg NT","false"
"4","A4","34","Endo","583019.5625","507980.6153409091","Neg NT","false"
"4","A4","35","Endo","602128.1875","526959.7587357954","Neg NT","false"
"4","A4","36","Endo","621365.5625","546067.6521306818","Neg NT","false"
"4","A4","37","Endo","639405.375","563977.9830255682","Neg NT","false"
"4","A4","38","Endo","656216.4375","580659.5639204545","Neg NT","false"
"4","A4","39","Endo","671466.1875","595779.8323153409","Neg NT","false"
"4","A4","40","Endo","685705.0625","609889.2257102273","Neg NT","false"
"4","A4","41","Endo","698455.3125","622509.9941051136","Neg NT","false"
"4","A4","42","Endo","711166.625","635091.825","Neg NT","false"
"4","A4","43","Endo","722000.5625","645796.2808948864","Neg NT","false"
"4","A4","44","Endo","732396.3125","656062.5492897726","Neg NT","false"
"4","A4","45","Endo","740982.6875","664519.442684659","Neg NT","false"
"4","A4","46","Endo","750682.25","674089.5235795454","Neg NT","false"
"4","A4","47","Endo","757796.5","681074.2919744318","Neg NT","false"
"4","A4","48","Endo","765086.5","688234.8103693181","Neg NT","false"
"4","A4","49","Endo","772430.8125","695449.6412642045","Neg NT","false"
"4","A4","50","Endo","778117.8125","701007.1596590909","Neg NT","false"
"5","A5","1","Endo","70947.4765625","-194.0327250874131","Neg DC","false"
"5","A5","2","Endo","71325.34375","77.3799715909093","Neg DC","false"
