# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"62","F2","false","buffer and PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.432726701288439","","","27.87667443064879","0.9849024907031498","27.164598228900527","0.9128407404757404","false","9000.0","false","3","15"
"62","F2","false","buffer and PCD 4","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.9202072235066896","","","32.615794818030835","0.7764815313771638","32.73163906360701","0.2175031607623102","false","60000.0","false","3","15"
"63","F3","false","Neg WC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4390870080253633","","","28.992800883667996","0.992945285596972","28.861096730723254","0.18625779931497238","false","9000.0","false","3","15"
"63","F3","false","Neg WC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"64","F4","false","Neg CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.734701039680807","","","24.41000368430565","0.9853087147789044","24.697966979480043","0.4787833474175897","false","30000.0","true","3","17"
"65","F5","false","buffer and PCD 4","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"66","F6","false","Neg WC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.749445721653762","","","23.881847091932627","0.9838116427048623","23.772284875836498","0.15494437192720933","false","30000.0","true","3","17"
"68","F8","false","ICD","IEC","IPC","VIC","NFQ-MGB","Amp","2.4650987413337955","","","18.903811580077637","0.9929484710766906","18.89868039170757","0.08007432791848752","false","9000.0","false","3","15"
"68","F8","false","ICD","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","1.714876140001204","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"73","G1","false","Neg CC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.434178856356833","","","28.37059075731316","0.9840940719816645","28.51308521442099","0.28168620055400306","false","9000.0","false","3","15"
