# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"6","A6","18",,"72515.54"
"6","A6","19",,"73382.04"
"6","A6","20",,"74756.664"
"6","A6","21",,"77123.78"
"6","A6","22",,"81579.73"
"6","A6","23",,"90479.945"
"6","A6","24",,"106933.305"
"6","A6","25",,"136481.0"
"6","A6","26",,"186734.58"
"6","A6","27",,"260934.34"
"6","A6","28",,"349282.6"
"6","A6","29",,"433587.7"
"6","A6","30",,"497691.06"
"6","A6","31",,"540486.9"
"6","A6","32",,"569699.5"
"6","A6","33",,"593251.7"
"6","A6","34",,"615787.6"
"6","A6","35",,"637504.94"
"6","A6","36",,"657973.0"
"6","A6","37",,"676281.25"
"6","A6","38",,"693651.9"
"6","A6","39",,"709905.6"
"6","A6","40",,"723609.9"
"6","A6","41",,"737036.6"
"6","A6","42",,"749041.6"
"6","A6","43",,"760191.8"
"6","A6","44",,"769682.3"
"6","A6","45",,"778979.2"
"6","A6","46",,"788166.9"
"6","A6","47",,"796148.6"
"6","A6","48",,"802446.4"
"6","A6","49",,"809772.2"
"6","A6","50",,"815389.8"
"6","A6","51",,"821778.75"
"6","A6","52",,"825694.9"
"8","A8","1","10488.264","1032767.94"
"8","A8","2","10233.022","1046908.2"
"8","A8","3","10119.708","1052923.5"
"8","A8","4","10129.727","1055205.2"
"8","A8","5","9934.473","1056676.0"
"8","A8","6","9885.428","1059053.8"
"8","A8","7","9751.37","1057545.1"
"8","A8","8","9863.027","1057977.1"
"8","A8","9","9787.088","1060583.5"
"8","A8","10","9661.4","1062115.0"
"8","A8","11","9536.195","1064419.8"
"8","A8","12","9501.739","1064989.6"
"8","A8","13","9742.027","1064613.4"
"8","A8","14","9469.581","1066390.0"
"8","A8","15","9948.315","1066899.1"
"8","A8","16","9732.137","1069257.8"
"8","A8","17","9698.226","1069661.0"
"8","A8","18","9645.558","1072795.9"
"8","A8","19","9302.603","1072735.2"
"8","A8","20","9305.72","1074958.4"
"8","A8","21","9384.566","1074554.5"
"8","A8","22","9409.41","1073538.2"
"8","A8","23","9424.141","1074100.6"
"8","A8","24","9312.635","1075595.1"
"8","A8","25","9253.586","1075261.1"
"8","A8","26","9358.113","1076661.6"
"8","A8","27","9321.0","1076192.9"
"8","A8","28","9529.916","1076657.6"
"8","A8","29","9535.405","1077590.2"
"8","A8","30","9361.839","1077624.4"
"8","A8","31","9462.797","1078614.0"
"8","A8","32","9234.867","1079343.6"
