# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"52","E4","false","Spike-In CM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7564550439985536","","","22.237995580321545","0.9834370066121826","21.868715091078172","0.3280565615018944","false","30000.0","true","3","13"
"53","E5","false","Spike-In CM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.764730065841429","","","21.757184679875408","0.9862917826771719","21.868715091078172","0.3280565615018944","false","30000.0","true","3","14"
"54","E6","false","Spike-In CM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7658908798856277","","","21.610965013037564","0.9859166260894663","21.868715091078172","0.3280565615018944","false","30000.0","true","3","14"
"61","F1","false","No Spike-In","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.3204517032893848","","","36.734537432620314","0.9786073331353426","34.924401145713745","1.7667402105439853","false","13336.662","true","3","29"
"61","F1","false","No Spike-In","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","true","3","49"
"62","F2","false","Spike-In DG","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.2921321221321507","","","34.964645172902976","0.9781696541172635","35.11380919703119","0.21094978594064864","false","13336.662","true","3","27"
"62","F2","false","Spike-In DG","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8367452812426373","","","34.97383384637682","0.7888219808005354","35.18154910876087","0.293753741175836","false","60000.0","true","3","29"
"63","F3","false","Spike-In DG","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.28616533267678","","","35.2629732211594","0.9573393584304641","35.11380919703119","0.21094978594064864","false","13336.662","true","3","28"
"63","F3","false","Spike-In DG","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8272068029016504","","","35.38926437114492","0.8525251463068132","35.18154910876087","0.293753741175836","false","60000.0","true","3","28"
"64","F4","false","No Spike-In","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.749980417742359","","","23.3156413201606","0.9798076074680887","23.117292101250353","0.4352826417368713","false","30000.0","true","3","15"
"65","F5","false","Spike-In DG","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.748320165914944","","","23.47751397525591","0.9813861058975537","23.419459392458","0.08210157835152486","false","30000.0","true","3","17"
"66","F6","false","Spike-In DG","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.770008880677302","","","23.361404809660087","0.9884975369499265","23.419459392458","0.08210157835152486","false","30000.0","true","3","16"
"73","G1","false","Spike-In DC","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"73","G1","false","Spike-In DC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.860494832998423","","","34.78981518975766","0.8175430197929463","35.38814815677855","0.5205764546947804","false","60000.0","true","3","29"
"74","G2","false","Spike-In DC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.162592772722651","","","39.861447039794335","0.9451913602628248","39.861447039794335","","false","13336.662","true","3","30"
"74","G2","false","Spike-In DC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8593922243624954","","","35.737295542789425","0.6851892588061105","35.38814815677855","0.5205764546947804","false","60000.0","true","3","30"
"75","G3","false","Spike-In DC","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"75","G3","false","Spike-In DC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8338855427347487","","","35.63733373778855","0.7926518549488033","35.38814815677855","0.5205764546947804","false","60000.0","true","3","29"
"76","G4","false","Spike-In DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.723721169068348","","","22.42207735347015","0.9907555081789496","22.11805247777356","0.28235370431161466","false","30000.0","true","3","13"
"77","G5","false","Spike-In DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7275425658584447","","","22.068021756701405","0.9817342542619475","22.11805247777356","0.28235370431161466","false","30000.0","true","3","14"
"78","G6","false","Spike-In DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7295133966117424","","","21.864058323149123","0.9900945277666472","22.11805247777356","0.28235370431161466","false","30000.0","true","3","14"
"85","H1","false","Spike-In CC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.294477318084761","","","39.30043649139163","0.9830358076494065","36.93368012923113","3.3198217115485495","false","13336.662","true","3","31"
"85","H1","false","Spike-In CC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.882905080790832","","","34.073702022030204","0.8488437593310542","35.068627718688745","1.608331227036924","false","60000.0","true","3","25"
"86","H2","false","Spike-In CC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.3863625155445387","","","33.13877663942836","0.9661211874303601","36.93368012923113","3.3198217115485495","false","13336.662","true","3","24"
"86","H2","false","Spike-In CC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8641427434442317","","","34.38580552859064","0.7971335905794834","35.068627718688745","1.608331227036924","false","60000.0","true","3","27"
"87","H3","false","No Spike-In","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4203782205078195","","","32.877395712943496","0.9793930441451731","34.924401145713745","1.7667402105439853","false","13336.662","true","3","25"
"87","H3","false","No Spike-In","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","true","3","49"
"88","H4","false","Spike-In CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.721767840411711","","","24.276801162783684","0.9857061692567592","23.925524602624435","0.8798303081077736","false","30000.0","true","3","14"
"89","H5","false","Spike-In CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7610800564880362","","","22.61025035874374","0.9845470145156544","23.925524602624435","0.8798303081077736","false","30000.0","true","3","14"
"90","H6","false","No Spike-In","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7641096228293276","","","22.72478721304742","0.9853112075483292","23.117292101250353","0.4352826417368713","false","30000.0","true","3","16"
